movie_title,recommended_titles
88 Minutes,"80 Minutes, The Adventures of Sherlock Holmes, Mindhunters, The Oxford Murders, A Kiss Before Dying"
A Scanner Darkly,"Jin-Roh: The Wolf Brigade, Scanner Cop, The Terminal Man, Saturn 3, Nemesis"
The Broken,"The Return, The Eye, The Orphanage, The Uninvited, The Hamiltons"
Under Siege 2: Dark Territory,"Under Siege, Diplomatic Siege, Bloodsport: The Dark Kumite, Evasive Action, The Peacemaker"
Legionnaire,"North Face, Apocalypto, The Wilby Conspiracy, The President's Man, Arn: The Kingdom at Road's End"
I'll Sleep When I'm Dead,"Dead or Alive, Dead Man Running, Wanted: Dead or Alive, Already Dead, Get Carter"
Casanova '70,"Casanova, Kiss Of Life, In Paris, Drowning by Numbers, Luna Papa"
Working Girl,"The Ramen Girl, My Sassy Girl, My Sassy Girl, The Good Girl, My Girl 2"
Frances,"James Dean, Cries and Whispers, Dragon: The Bruce Lee Story, Daisy Diamond, Secret Sunshine"
Don't Come Knocking,"Destined for Blues, The Music Room, The Gospel, Velvet Goldmine, Sparkle"
The Thin Man,"After the Thin Man, Song of the Thin Man, The Thin Man Goes Home, The Return of the Pink Panther, The Man"
U-571,"In Enemy Hands, Inglourious Basterds, The Train, The Bedford Incident, The Secret Invasion"
Fame,"Fame, 2:37, Zero Day, Opium: Diary of a Madwoman, To Sir, with Love"
The Mad Dog Killer,"The Killer, Fudoh: The New Generation, The Memory Of A Killer, The Fast and the Furious, Mad Detective"
Lady Chatterley,"Lady Chatterley's Lover, The Portrait of a Lady, Lady Jane, Children of Paradise, Silk"
Bagdad Cafe,"Driving Miss Daisy, The Adventures of Priscilla, Queen of the Desert, This Christmas, Empire Records, Even Dwarfs Started Small"
Reflections in a Golden Eye,"O, He Who Gets Slapped, Eye for an Eye, The Golden Bowl, Blown Away"
After the Wedding,"After the Rain, The D.I., The Inheritance, The Dependent, The Keys of the Kingdom"
Mahogany,"Indochine, The Roman Spring of Mrs. Stone, Gia, Darling, A Woman of Paris"
Mad Dog Coll,"Alpha Dog, Mad Dog and Glory, Ghost Dog: The Way of the Samurai, Stray Dog, Hoodlum"
"Girl, Interrupted","Slovenian Girl, Factory Girl, Samaritan Girl, Fat Girl, Lucky Girl"
I Now Pronounce You Chuck & Larry,"Now You Know, After You, You Can't Take It With You, Someone Like You..., You, Me and Dupree"
Underground,"Underground, The Manxman, Laugh, Clown, Laugh, Lost Islands, Nordsee ist Mordsee"
Emma,"Emma, Alex & Emma, Emma's Bliss, Le Divorce, Sex and the City"
Doctor X,"The Return of Doctor X, Cabin By The Lake, Inferno, The Serpent and the Rainbow, Friday the 13th Part VIII: Jason Takes Manhattan"
The Return of Doctor X,"Halloween 4: The Return of Michael Myers, All the Colors of the Dark, End of the Line, House on the Edge of the Park, Doctor X"
Calling Dr. Gillespie,"The Day of the Locust, Rendition, El Cortez, Extreme Measures, The Education of Charlie Banks"
The Tunnel,"The House Across the Lake, The Day of the Locust, The Wave, The Confession, The Woman in the Window"
The Tunnel,"The Tunnel, The Man Who Saves The World, In the Dust of the Stars, The Time Guardian, The Illustrated Man"
Changeling,"Wild Things: Diamonds in the Rough, The Deep End, Dolores Claiborne, And Then There Were None, Unnatural & Accidental"
Death Line,"Death Spa, The Death King, The Grapes of Death, Death Smiles on a Murderer, Erotic Nights of the Living Dead"
The Millionairess,"The Other End of the Line, The Shop Around the Corner, The Ex, The Beautician and the Beast, The Baxter"
Prêt-à-Porter,"Deconstructing Harry, Gray's Anatomy, Bagdad Cafe, I Was Born, But..., Driving Miss Daisy"
Bogus,"Drop Dead Fred, Ella Enchanted, Jack and the Beanstalk, Casper, Dr. Dolittle: Million Dollar Mutts"
It Happened Tomorrow,"Delicatessen, Multiplicity, Nothing, The Visitors, Howard the Duck"
One Million Years B.C.,"One Million B.C., Hercules, The Lord of the Rings: The Return of the King, Conan the Destroyer, Thor"
One Million B.C.,"One Million Years B.C., Snow White: A Tale of Terror, Shanks, The Infernal Caldron, Day Watch"
Dr. Cyclops,"Dr. Jekyll and Mr. Hyde, Dr. Who and the Daleks, Dr. Moreau's House of Pain, Creature from the Black Lagoon, Island of Lost Souls"
The Number 23,"The Moustache, The Name of the Rose, The Vanishing, The Fan, The Return"
Ransom,"World for Ransom, American Ninja 5, Taken, Most Wanted, The Defender"
Things to Come,"The Man Who Fell to Earth, The Day the Earth Caught Fire, On the Beach, Voyage to the Bottom of the Sea, No Blade of Grass"
I Know What You Did Last Summer,"I Still Know What You Did Last Summer, I Saw What You Did, I'll Always Know What You Did Last Summer, Do You Like Hitchcock?, Films to Keep You Awake: The Baby's Room"
Lost Horizon,"The Lost Continent, The Lost World, Lost Highway, Legend of the Lost, Mio in the Land of Faraway"
I Still Know What You Did Last Summer,"I Know What You Did Last Summer, I Saw What You Did, Do You Like Hitchcock?, Films to Keep You Awake: The Baby's Room, I'll Always Know What You Did Last Summer"
I'll Always Know What You Did Last Summer,"I Know What You Did Last Summer, This Night I'll Possess Your Corpse, The Last House on Dead End Street, I Still Know What You Did Last Summer, April Fool's Day"
Black Sheep,"Black Sheep, Black Sabbath, Hack!, The Black Cat, Jennifer's Body"
Flash Gordon,"Flash Gordon, Flesh Gordon, Battle Beyond the Stars, The Time Guardian, Crack in the World"
Flash Gordon,"Flash Gordon, Flesh Gordon, Polar Storm, Battle for the Planet of the Apes, Star Trek: Of Gods And Men"
Girl with a Pearl Earring,"City Girl, The Girl with the Red Scarf, A Room with a View, Conversations with Other Women, Turkish Delight"
No Reservations,"Monkeyshines, No. 1, No More School, Doug Stanhope: No Refunds, Dawn Breaks, Which Is No Small Thing, Denis Leary: No Cure for Cancer"
Mostly Martha,"Martha, Tortilla Soup, Knocked Up, The Ramen Girl, Harold and Maude"
What's New Pussycat?,"What Love Is, What Women Want, Naked in New York, What's Up, Doc?, What Happens in Vegas"
54,"Prey for Rock & Roll, Stomp the Yard, Beyond the Sea, The Temptations, Eddie and the Cruisers"
Flags of Our Fathers,"Army of Crime, Battle of the Bulge, Casualties of War, Land of Plenty, Days of Glory"
Last of the Renegades,"The Last of the Mohicans, Return of the Seven, The Good, the Bad and the Ugly, Run of the Arrow, The Sons of Katie Elder"
Flesh Gordon,"Flash Gordon, Evil Alien Conquerors, Flash Gordon, 2001: A Space Travesty, Mystery Science Theater 3000: The Movie"
Secret Agent Super Dragon,"Agent for H.A.R.M., The Black Knight, Delta Force 3: The Killing Game, The Phantom, Indiana Jones and the Temple of Doom"
"Amigo, Stay Away","The Sons of Katie Elder, The Gunfighter, Open Range, McLintock!, Tall in the Saddle"
Seven Blood-Stained Orchids,"Brutal, Scream, Saw, Blade of the Ripper, Blood Curse"
Gang War in Milan,"War, Syndicate Sadists, Fudoh: The New Generation, Gone in Sixty Seconds, Graveyard of Honor"
In July,"Christmas in July, Wedding in Malinovka, In & Out, Christmas in Connecticut, Trouble in Paradise"
Onibaba,"The Vampire Lovers, Witchboard, Nightmare in Wax, Dracula A.D. 1972, Demons"
The Naked Island,"The Island, The D.I., The Program, The Door in the Floor, The Inheritance"
The Lady from Shanghai,"The Conversation, The Prize, The Killers, The Reckoning, The Killers"
Gilda,"Assassination Tango, Asylum, Final Analysis, Bitter Moon, Reflections in a Golden Eye"
Throne of Blood,"Iron & Blood: The Legend of Taras Bulba, The Passion of Joan of Arc, Joan of Arc, Ghosts of Mississippi, Gardens of Stone"
Red Beard,"Red Desert, Red Dust, The Red Squirrel, Raise the Red Lantern, Snow White and Russian Red"
Ikiru,"The Doctor, Import/Export, The Bench, Taste of Cherry, Riding Alone for Thousands of Miles"
Frankie and Johnny,"Frankie and Johnny, Pat and Mike, Catch and Release, Bread and Tulips, Boys and Girls"
Buck Rogers in the 25th Century,"The Day After, The Black Hole, Quantum Apocalypse, Crack in the World, Brave New World"
Dark Blue Almost Black,"Black, Blue Chips, Black Cloud, Dark Matter, Dark Streets"
1900,"Under the Bombs, Golden Door, The Duchess, The Best Years of Our Lives, Captain Corelli's Mandolin"
Brothers,"Brothers, Copying Beethoven, Kandahar, The Inheritance, Whose Life Is It Anyway?"
Things We Lost in the Fire,"The Girl in the Park, The Door in the Floor, In the Beginning, Lost in Yonkers, The Boys in the Band"
I'm Not There.,"The Music Room, Velvet Goldmine, La Bamba, Notorious, Brothers of the Head"
Corpse Bride,"Beauty and the Beast, Brigadoon, The Bride, Yellow Submarine, Xanadu"
Ménage,"Panic, I Always Wanted to Be a Gangster, The Young Poisoner's Handbook, A Gorgeous Girl Like Me, Harlem Nights"
The Last Woman,"The Last Laugh, The Strange Woman, The Woman Chaser, Pierrepoint: The Last Hangman, The D.I."
Blondie Has Servant Trouble,"Blondie Goes Latin, Blondie Knows Best, Blondie Plays Cupid, Blondie on a Budget, Rumor Has It..."
Blondie on a Budget,"Blondie Knows Best, Blondie Goes Latin, Blondie Has Servant Trouble, Blondie Plays Cupid, Carry On Camping"
Blondie Plays Cupid,"Blondie Goes Latin, Blondie Has Servant Trouble, Blondie Knows Best, Blondie on a Budget, Good Luck Chuck"
Blondie Goes Latin,"Blondie Has Servant Trouble, Blondie Knows Best, Blondie Plays Cupid, Blondie on a Budget, Melvin Goes to Dinner"
Blondie Knows Best,"Blondie Has Servant Trouble, Blondie Goes Latin, Blondie Plays Cupid, Blondie on a Budget, My Best Friend"
Critters,"Critters 4, Critters 3, Critters 2, Tremors 3: Back to Perfection, Lake Placid"
What Women Want,"100 Women, What's Up, Doc?, What Love Is, What's New Pussycat?, What Happens in Vegas"
Team America: World Police,"Air America, Scott Pilgrim vs. the World, At World's End, Gurren Lagann The Movie: The Lights in the Sky Are Stars, Naruto the Movie: Ninja Clash in the Land of Snow"
Beetlejuice,"The Time of Their Lives, The Visitors II: The Corridors of Time, Stay Tuned, The Book of Life, Nanny McPhee and the Big Bang"
The Believer,"The D.I., The Cry of the Owl, The Pawnbroker, The Wackness, The Passion of the Christ"
Last Year at Marienbad,"Last Night, The Last Time, At First Sight, The Last Mistress, Mao's Last Dancer"
The Prize,"The Reckoning, The Conversation, The Walker, The Killers, The Killers"
Going Places,"Going Berserk, The Dress, The Banger Sisters, Real Women Have Curves, Pieces of April"
My Girl,"My Girl 2, My Girl, My Dog Skip, Kit Kittredge: An American Girl, The Thing About My Folks"
That Man from Rio,"Tarzan, the Ape Man, Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes, All About the Benjamins, Johnny English, Little Big Soldier"
Law of Desire,"That Obscure Object of Desire, Son of the Bride, Edge of Seventeen, Leap of Faith, Son in Law"
The Glass Cell,"The Face Behind the Mask, The Chamber, The Man of the Year, The Worthless, The Trial"
Benny & Joon,"Griffin & Phoenix, Le Divorce, One Way Passage, The Other Sister, The Family Stone"
Black Rain,"The Black Windmill, Johan Falk: National Target, Pray For Death, Yo-Yo Girl Cop, Shade"
Bloody Sunday,"Mountains of the Moon, Ben-Hur, The Message, The Wind and the Lion, 1492: Conquest of Paradise"
The Transporter,"Transporter 2, The Hitman, Transporter 3, The Mechanic, The Mechanic"
Blondie of the Follies,"The Adventures of Priscilla, Queen of the Desert, The Secret of the Grain, The Bonfire of the Vanities, The Sisterhood of the Traveling Pants, The Color of Milk"
Blondie Johnson,"Place Vendome, Lilya 4-ever, Dangerous Minds, Taxi Driver, Mildred Pierce"
Blow,"The Domino Principle, Ariel, Bad Boy Bubby, Sonny, Tsotsi"
Het zwijgen,"Where the Spies Are, House of Cards, The Key to Reserva (La clave Reserva), The Naked Man, Long Hello and Short Goodbye"
Blindsight,"To the Limit, 49 Up, Kon-Tiki, Roman Polanski: Wanted and Desired, Enron: The Smartest Guys in the Room"
Shoot 'Em Up,"Rush Hour 3, Bad Boys, The 51st State, The Chase, Smokin' Aces"
The Wonderful Crook,"The Captain from Köpenick, Coluche, l'histoire d'un mec, Die Geschichte vom Brandner Kaspar, The Slurb, The Collector"
Road to Perdition,"Reservation Road, London to Brighton, A Time to Kill, Born to Kill, Elevator to the Gallows"
Revolutionary Road,"Flamingo Road, Road to Victory, The Road Home, 84 Charing Cross Road, Far from Heaven"
Three Seasons,"The Dancer and the Thief, The Man I Love, Address Unknown, Behind the Sun, Phantom Pain"
Breach,"The Untouchables, Violette, Winter of Frozen Dreams, The Breach, Mississippi Burning"
Trade,"World Trade Center, I Stand Alone, Unfaithful, Sympathy for Lady Vengeance, Matador"
Odette Toulemonde,"Making Plans for Lena, My Father the Hero, Real Women Have Curves, Chance, Luna Papa"
Stromboli,"Out of Africa, Bicycle Thieves, One of Us, Dark Blue Almost Black, The Murderers Are Among Us"
Spellbound,"Instinct, Death and the Maiden, Amnesia: The James Brighton Enigma, Blow Out, Exit"
Under Capricorn,"Under the Same Moon, Under the Sun of Satan, Whose Life Is It Anyway?, Last Ride, Guru"
Murder on the Orient Express,"Murder on the Orient Express, The House on Telegraph Hill, The Name of the Rose, The Cat's Meow, The Unsuspected"
Three Men and a Cradle,"Men..., O.C. and Stiggs, Three Fugitives, Men in the City, 29th and Gay"
Life Upside Down,"The Life, Life Hits, Gainsbourg: A Heroic Life, This Girl's Life, An Unfinished Life"
The Bride Wore Black,"The Deadly Affair, The Crimson Kimono, The Flock, The Other Man, The Betrayed"
Death on the Nile,"Sherlock Holmes and the Masks of Death, The Missing Juror, The Woman in Question, The Sign of Four: Sherlock Holmes' Greatest Case, The Pearl of Death"
Evil Under the Sun,"Midnight in the Garden of Good and Evil, In the Heat of the Night, The Hound of the Baskervilles, The Pledge, The Flock"
Bluebeard,"The File on Thelma Jordon, Bellamy, House of Strangers, The Seventh Juror, Breathless"
Lenin: The Train,"The Valley of the Bees, The Assault, The Affair of the Necklace, The Emperor and the Assassin, The Abdication"
The Man in the Iron Mask,"The Man in the Iron Mask, The Deluge, The Fifth Musketeer, The Married Couple of the Year Two, The Final Inquiry"
The Fifth Musketeer,"The Man in the Iron Mask, The Warlords, The Bunker, The Bounty, The Musketeer"
Danton,"The Last Emperor, Milk, Julius Caesar, Ivan the Terrible, Part I, Les Misérables"
Women on the Verge of a Nervous Breakdown,"The Women, The Adventures of Priscilla, Queen of the Desert, The Secret of the Grain, City of Women, The Bonfire of the Vanities"
$5 a Day,"Day for Night, Radio Day, Groundhog Day, Zero Day, Elections Day"
Shriek If You Know What I Did Last Friday the Thirteenth,"The Last Man, If I Were You 2, If I Were You, Did You Hear About the Morgans?, Jerry Seinfeld: I'm Telling You for the Last Time"
The French Revolution,"The Lady and the Duke, Revolution, The Bridge, The Bridge on the River Kwai, The Great Escape"
Scream,"Scream 3, Scream 2, Seven Blood-Stained Orchids, Brutal, Saw"
Scream 2,"Scream 3, Scream, The House of the Devil, My Bloody Valentine, Satan's School For Girls"
Scream 3,"Scream 2, Scream, Final Destination 2, The Car, Carnival of Souls"
The Sicilian Clan,"The Gangster, The Mob, The Accused, The Chase, Under the Gun"
Visitor Q,"The Ninth Configuration, 2LDK, The Visitor, Riding the Bullet, Love Object"
The Kid,"The Cat in the Hat, The Dirt Bike Kid, The Flintstones, The Love Bug, The Gnome-Mobile"
Scary Movie,"Scary Movie 2, Scary Movie 4, Scary Movie 3, Scary Movie 5, Extreme Movie"
Scary Movie 2,"Scary Movie, Scary Movie 4, Scary Movie 3, Scary Movie 5, Silent Movie"
Pornorama,"Safe Sex, The Party 2, Girls on Top 2, Anchorman: The Legend of Ron Burgundy, Killer Condom"
Veer-Zaara,"Dil Se.., The Dark Side of the Sun, Jules and Jim, Nine 1/2 Weeks, Love in the Time of Cholera"
Chalte Chalte,"Mujhse Dosti Karoge!, Dilwale Dulhania Le Jayenge, Hands Across the Table, Christmas in Boston, His Private Secretary"
Hum Tum,"Bluffmaster!, Mujhse Shaadi Karogi, Love Don't Cost a Thing, A Little Romance, Ajab Prem Ki Ghazab Kahani"
Kal Ho Naa Ho,"Gung Ho, Real Women Have Curves, Chance, Making Plans for Lena, Autumn Marathon"
The Party at Kitty and Stud's,"Who's the Man?, Sivaji: The Boss, The Cub Tiger from Kwang Tung, The Anniversary Party, The Squid and the Whale"
Scary Movie 3,"Scary Movie 4, Scary Movie 2, Scary Movie, Scary Movie 5, Date Movie"
Scary Movie 4,"Scary Movie 3, Scary Movie 2, Scary Movie 5, Scary Movie, Silent Movie"
Scary Movie 5,"Scary Movie 4, Scary Movie 2, Scary Movie 3, Scary Movie, Silent Movie"
The Breach,"The Mark of the Whistler, The Case of the Bloody Iris, The Candidate, The Lost, The Avengers"
Get Out Your Handkerchiefs,"Come Blow Your Horn, I Could Never Be Your Woman, Life Is All You Get, Only You, Vixen!"
Une Chambre en Ville,"Carmen, Telstar: The Joe Meek Story, Autumn Sonata, Broken Bridges, The Temptations"
Life Is a Long Quiet River,"Uuno Turhapuro – This Is My Life, A Dog's Life, Real Life, Life Stinks, Life of Brian"
Fort Saganne,"Downfall, Stalingrad, Is Paris Burning?, Taxi for Tobruk, The Lost Battalion"
The Married Couple of the Year Two,"The Extraordinary Adventures of Mr. West in the Land of the Bolsheviks, The Odd Couple II, The Man in the Iron Mask, The Dukes of Hazzard: The Beginning, Lupin the Third: The Castle of Cagliostro"
Appointment with Death,"Appointment with Danger, Jesse Stone: Death in Paradise, Death Warrant, The Girl with the Dragon Tattoo, Room of Death"
Primeval,"The Thief Lord, The Hunt for the Hidden Relic, Medicine Man, Amelia, Robin Hood: Prince of Thieves"
After Five In The Forest Primeval,"The Man in the White Suit, Caterina in the Big City, Man in the Chair, In Paris, In the Company of Men"
The Innocent,"The Secret, The Princess and the Warrior, The Center of the World, The Voyeur, The House of the Spirits"
The Final Terror,"The Terror, Friday the 13th: The Final Chapter, The Final, The Marsh, The Vanishing"
Dinocroc,"Carny, Species: The Awakening, Alligator, Hellraiser: Bloodline, Invasion of the Bee Girls"
Supergator,"The Thirsting, Ella y el miedo, Chainsaw Sally, Rock 'n' Roll Frankenstein, Baba Yaga"
Kikujiro,"Wide Awake, Air Bud: Seventh Inning Fetch, The Ugly Dachshund, Because of Winn-Dixie, Simon Birch"
Millennium,"Seconds, Yesterday Was a Lie, Unforgettable, The X Files: I Want to Believe, Blindness"
The Flower of My Secret,"The Secret, The Secret, The Secret Life of Words, The Remains of the Day, The Age of Innocence"
The Sleeping Car Murder,"The Gangster, The Sicilian Clan, The Mob, The Chase, The Accused"
Herr Lehmann,"Breakfast on Pluto, Ugly, Dirty and Bad, Summer Storm, Two Days, The Wedding"
Charlie's Angels,"Charlie's Angels: Full Throttle, Hells Angels on Wheels, Lethal Weapon 3, The A-Team, Lethal Weapon 2"
I Woke Up Early The Day I Died,"Up the Academy, Day of the Wacko, Up!, A Day at the Races, The End"
The Nasty Girl,"The Magician, The Pope's Toilet, Pavee Lackeen: The Traveller Girl, The Girl from Paris, Schultze Gets the Blues"
Hotel Very Welcome,"Don't Think About It, Nobody Loves Me, Aaltra, Rock 'n' Roll Frankenstein, The Wonderful Crook"
Atonement,"Emmanuelle II, The Secret, Pola X, That Night, My Dear Secretary"
Pride & Prejudice,"Sense and Sensibility, Hideous Kinky, Journey to Italy, The Go-Between, In the Mood for Love"
The Kingdom,"The Abductors, The Defender, The Getaway, The Net 2.0, The Hunter"
Bordertown,"Bordertown, Dolores Claiborne, Ten Little Indians, Wild Things: Diamonds in the Rough, The Prize"
Munchies,"The Stuff, Evil Aliens, Ghoulies IV, Teenage Caveman, Beyond Re-Animator"
Dark Wolf,"The Fury of the Wolf Man, Dark Prince: The True Story of Dracula, The Dark Eyes of London, Howling VI: The Freaks, Never Cry Werewolf"
Just a Question of Love,"For Love of the Game, Love in the Time of Cholera, Games of Love and Chance, Love, Money, Love, Endless Love"
Triple Cross,"Ballistic: Ecks vs. Sever, Mission: Impossible, The Marksman, Mission: Impossible II, Live and Let Die"
The Child I Never Was,"The Dancer and the Thief, The Chamber, The Black Lapp, The Funeral, The Man of the Year"
Monster-in-Law,"Christmas in Connecticut, In & Out, Son in Law, Christmas in July, Trouble in Paradise"
Shall We Dance?,"Shall We Dance?, Shall We Kiss?, Shall We Dance, Away We Go, Jab We Met"
Lissi and the Wild Emperor,"Futurama: Into the Wild Green Yonder, Scooby-Doo! and the Witch's Ghost, The Nine Lives of Fritz the Cat, Dieter - The Movie, The Drawn Together Movie: The Movie!"
Les Misérables,"Les Misérables, Les Misérables, Les Misérables, Danton, Rome, Open City"
The Brave One,"The Sniper, The Silence of the Lambs, The Bandit, The Falcon and the Snowman, The Narrows"
Les Misérables,"Les Misérables, Les Misérables, Les Misérables, Les patriotes, Les parasites"
Les Misérables,"Les Misérables, Les Misérables, Les Misérables, War and Peace, Lady Oscar"
G.I. Jane,"F.I.S.T., The Merry Gentleman, Becoming Jane, Jane Eyre, Lone Wolf and Cub: Baby Cart at the River Styx"
Asoka,"The Lion in Winter, Hamlet, The Official Story, The Valley of the Bees, Fear and Desire"
Kein Bund für's Leben,"Die Bademeister – Weiber, saufen, Leben retten, The Best of Times, The Flying Deuces, Leningrad Cowboys Go America, Manta, Manta"
2010,"The Noah's Ark Principle, Colossus: The Forbin Project, The Andromeda Strain, Nemesis, Class of 1999"
Candy,"In the Mood for Love, Dil Se.., Everyone Else, Full Speed, Jules and Jim"
The Brothers Grimm,"The Librarian: The Curse of the Judas Chalice, The Rundown, The Librarian: Quest for the Spear, The Medallion, The Big Hit"
Nuits rouges,"1408, End of the Line, Two Evil Eyes, The Baby, Deep in the Woods"
Witchery,"Bloody New Year, Zombie Island Massacre, 1920, The Hills Run Red, Satan's Cheerleaders"
Night Without Sleep,"Night Moves, Still of the Night, Coffin Rock, Dead Again, The Bloodstained Butterfly"
The Snows of Kilimanjaro,"Greystoke: The Legend of Tarzan, Lord of the Apes, The Pride and the Passion, The Mark of Zorro, The Art of Travel, Arn: The Knight Templar"
Decision Before Dawn,"Red Dawn, Operation Crossbow, The Sea Wolves, The Wild Geese, Iron Eagle"
Diplomatic Courier,"44 Minutes: The North Hollywood Shoot-Out, Agent Cody Banks, Crows Zero, Laser Mission, Once Upon a Time in Mexico"
Seabiscuit,"Miracle, Beaufort, Mirror, Goodbye Bafana, Shake Hands With the Devil"
My Super Ex-Girlfriend,"Super Fuzz, My Bestfriend's Girlfriend, Super Capers, Super Stooges vs the Wonder Women, Super Fly"
The Private Lives of Pippa Lee,"The Taming of the Shrew, The Irony of Fate. The Sequel, The Sum of Us, The Rules of the Game, Son of the Bride"
Legends of the Fall,"Map of the Human Heart, The Horseman on the Roof, The Four Feathers, Across the Pacific, The Last of the Mohicans"
The Devil's Own,"We Own the Night, Before the Devil Knows You're Dead, The Town, The Departed, The Silence of the Lambs"
Indecent Proposal,"The D.I., Oleanna, One Girl's Confession, Extraordinary Measures, The Brave"
Les Misérables,"Les Misérables, Les Misérables, Les Misérables, The Scarlet Letter, Caligula"
Jean de Florette,"Jean Charles, Rang De Basanti, Coup de Torchon, Chak De! India, Linha de Passe"
Manon of the Spring,"The Story of O, The Keys of the Kingdom, The Cry of the Owl, The End of the Affair, The Shoes of the Fisherman"
French Twist,"French Kiss, Table for Three, The Truth About Love, Saving Face, Father's Little Dividend"
The Return of Martin Guerre,"The Beast of the City, The Edge of Love, In the Valley of Elah, The Story of Adele H, The Barefoot Contessa"
La Cage aux folles,"La Cage aux folles II, La Patinoire, La Classe Américaine, À Nous la Liberté, La Belle verte"
Diva,"Scarlet Diva, The Bodyguard, Dry Season, Enemy of the State, Bunraku"
Jesus of Montreal,"71 Fragments of a Chronology of Chance, One of Us, Flashbacks of a Fool, East of Eden, Scent of a Woman"
Friday the 13th,"Friday the 13th, Friday the 13th Part 2, The Return of the Vampire, The Messengers 2: The Scarecrow, The Mummy"
Rapture,"The Avenging Conscience: or 'Thou Shalt Not Kill', The Tomb of Ligeia, It's Gradiva Who Is Calling You, The Rapture, Epidemic"
The Spirit of the Beehive,"The Curse of the Cat People, The Tree of Life, Day of the Idiots, The Mists of Avalon, The Discovery of Heaven"
Viridiana,"The Nun's Story, Prozac Nation, Glowing Stars, Akeelah and the Bee, Baby Love"
The Executioner,"The Secret of the Grain, The Swindle, The Man Who Challenged the Devil, The Snapper, The Bonfire of the Vanities"
"Pepi, Luci, Bom","Radio Day, Pagafantas, Dave Attell: Captain Miserable, Nothing Funny, Remote Control"
Jamon Jamon,"Sylvia Scarlett, Jab We Met, The Wedding Banquet, The Last Run, Dream for an Insomniac"
The Assassination of Jesse James by the Coward Robert Ford,"The Quick and the Dead, Hour of the Gun, The Return of a Man Called Horse, The Red Pony, The Young Land"
30 Days of Night,"Silent Night, Bloody Night, Silent Night, Deadly Night, Children of the Living Dead, Children of the Corn V: Fields of Terror, End of the Line"
Lions for Lambs,"Battle For Haditha, Arn: The Kingdom at Road's End, Hero, Rabbit-Proof Fence, The Wind and the Lion"
My Best Friend,"My Best Friend's Birthday, My Best Friend's Wedding, My Best Friend's Girl, My Stars, My Friends"
Elizabeth: The Golden Age,"Elizabeth, The Cuckoo, Golden Door, The Duchess, Elizabeth I"
Elizabeth,"Elizabeth I, Elizabeth: The Golden Age, Marie Antoinette, Joan of Arc, Throne of Blood"
Conversations with My Gardener,"My Dinner with André, Travels with My Aunt, My Father and My Son, With Honors, My Fellow Americans"
Sleuth,"Sleuth, The Ghost, Uninvited Guest, Chinese Roulette, The Beat That My Heart Skipped"
Enchanted,"Ella Enchanted, Teen Witch, Father Frost, Dr. Dolittle 2, Aquamarine"
The Defector,"The Gaul, Into the Blue 2: The Reef, The Appaloosa, The Master, The Climb"
The Darjeeling Limited,"The Gold Rush, The Mysteries of Pittsburgh, The Life Aquatic with Steve Zissou, The Sisterhood of the Traveling Pants 2, The White Sun of the Desert"
Hearts of Darkness: A Filmmaker's Apocalypse,"End of the Century: The Story of The Ramones, Confessions of a Superhero, Protocols Of Zion, Triumph of the Nerds: The Rise of Accidental Empires, Ghosts of the Abyss"
Emil and the Detectives,"Take the Money and Run, The Baker, The Ladykillers, The Freshman, The Gazebo"
The Meaning of Life,"Life of Brian, The Taming of the Scoundrel, Chairman of the Board, Deal of the Century, The Discreet Charm of the Bourgeoisie"
The Count of Monte-Cristo,"The Count of Monte Cristo, The Count of Monte Cristo, Mountains of the Moon, The Messenger: The Story of Joan of Arc, The Last of the Mohicans"
Panic Room,"Boiler Room, Panic in the Streets, Panic, The Killing Room, The Steam Experiment"
The Count of Monte Cristo,"In the Name of the Father, The Passion of the Christ, The Shoes of the Fisherman, Gods of the Plague, The End of the Affair"
Sympathy for Lady Vengeance,"Sympathy for Mr. Vengeance, Anything for Her, A Bullet for Joey, Eye for an Eye, Lady Snowblood"
Be Cool,"The Red Inn, Free Money, The Ladykillers, Men at Work, Torrente, the Dumb Arm of the Law"
A Tale of Two Sisters,"The Legend of Boggy Creek, The Mystery of the Marie Celeste, House Of 9, Eyes of Laura Mars, The Seventh Victim"
The Machinist,"The House Across the Lake, The Day of the Locust, The Zone, The Woman in the Window, The Experiment"
Nightwatching,"Inherit the Wind, Romero, Shake Hands With the Devil, Julius Caesar, Eight Men Out"
Orpheus,"Wings of Desire, Beauty and the Beast, If Only, Il Mare, Be With You"
The Story of O,"The Cry of the Owl, The Nun's Story, The House of Sand, The Shoes of the Fisherman, The Straight Story"
Sex and the City,"The Tiger and the Snow, Sex and Breakfast, Sex and Death 101, The Prince and the Showgirl, Dr. T and the Women"
Michael Clayton,"Penthouse, Paranoid Park, Jennifer Eight, Ten Little Indians, City By The Sea"
Flesh,"Flesh + Blood, 4 Months, 3 Weeks and 2 Days, Snow White and Russian Red, The Heart is Deceitful Above All Things, The Garden of Eden"
Heat,"Dead Heat, Heat, Cadillac Man, Pieces of April, Postcards from the Edge"
Je t'aime moi non plus,"Lost Islands, The Manxman, Pure, The Chinese Botanist's Daughters, Laugh, Clown, Laugh"
Sense and Sensibility,"Love and Magnets, Romeo and Juliet, Jules and Jim, Syndromes and a Century, Angels and Insects"
